"titleType","genres","weightedRating","totalVotes"
"movie","Action,Music,Western",5.93088803088803,259
"movie","Action,Musical",6.49577298255986,3383
"movie","Action,Musical,Romance",7.28000470477535,4251
"movie","Action,Musical,Thriller",6,50
"movie","Action,Musical,Western",6.2,13
"movie","Action,Mystery",6.28959136468774,1297
"movie","Action,Mystery,Romance",5.4795472036942,15592
"movie","Action,Mystery,Sci-Fi",6.08840581899938,330916
"movie","Action,Mystery,Thriller",7.21040895460744,1171866
"movie","Action,Mystery,Western",6.4,1529
"movie","Action,Romance",5.98602463902504,15098
"movie","Action,Romance,Sci-Fi",4.60974912670689,3149
"movie","Action,Romance,Sport",6.20990099009901,909
"movie","Action,Romance,Thriller",6.63480124674437,117105
"movie","Action,Romance,War",6.7928154467894,4454
"movie","Action,Romance,Western",6.20748082884647,12258
"movie","Action,Sci-Fi",6.02734522657919,1096813
"movie","Action,Sci-Fi,Sport",6.6,24170
"movie","Action,Sci-Fi,Thriller",6.59917115006561,2202570
"movie","Action,Sport",4.10217678448777,18927
"movie","Action,Sport,Thriller",4.99630562552477,2382
"movie","Action,Thriller",6.57069185724048,3263390
"movie","Action,Thriller,War",5.7618675605418,73090
"movie","Action,Thriller,Western",6.55414507772021,1930
"movie","Action,War",5.82238631247186,11105
"movie","Action,War,Western",5.97975163849603,2899
"movie","Action,Western",6.62779425595023,152053
"movie","Adult",6.22279962629343,56729
"movie","Adult,Adventure",4.34369369369369,222
"movie","Adult,Adventure,Comedy",6.23652392947103,397
"movie","Adult,Adventure,Crime",3,11
"movie","Adult,Adventure,Drama",5.88336283185841,1695
"movie","Adult,Adventure,Mystery",6.8,62
"movie","Adult,Adventure,Romance",5.372,150
"movie","Adult,Adventure,Sci-Fi",6.2,202
"movie","Adult,Biography",4.7,39
"movie","Adult,Biography,Documentary",6.6753259779338,997
"movie","Adult,Biography,Drama",5,45
"movie","Adult,Comedy",5.82823763125532,21142
"movie","Adult,Comedy,Crime",6.60402414486922,497
"movie","Adult,Comedy,Documentary",5.8,37
"movie","Adult,Comedy,Drama",5.9589774078478,2523
"movie","Adult,Comedy,Fantasy",6.21684403059528,6014
