"directors","titleType","genres","numVotes","weightedRating"
"nm0000490","videoGame","Sport",685,6.8
"nm0005295","videoGame","Action,Adventure,Comedy",191,6.2
"nm0034229","videoGame","Action,Adventure",7,6.9
"nm0034229","videoGame","Action,Adventure,Comedy",3898,7.8
"nm0034229","videoGame","Action,Adventure,Comedy",5732,8.1
"nm0034229","videoGame","Action,Adventure,Crime",1133,5.6
"nm0034229","videoGame","Action,Adventure,Fantasy",1693,7.8
"nm0034229","videoGame","Action,Adventure,Fantasy",1821,7
"nm0034229","videoGame","Thriller",10,5.4
"nm0044524","videoGame","Action,Adventure,Fantasy",32,7
"nm0134811","videoGame","Action",28,7.1
"nm0140443","videoGame","Action,Adventure",259,4.7
"nm0140443","videoGame","Action,Adventure,Animation",61,7.6
"nm0140443","videoGame","Action,Adventure,Animation",117,6.3
"nm0140443","videoGame","Action,Adventure,Drama",20,7.7
"nm0140443","videoGame","Action,Adventure,Family",51,7
"nm0140443","videoGame","Action,Adventure,Sci-Fi",25,7.1
"nm0140443","videoGame","Action,Adventure,Sci-Fi",71,6.6
"nm0140443","videoGame","Sport",37,6.6
"nm0367538","videoGame","Action,Adventure",779,8.1
"nm0463620","videoGame","Action,Adventure,Drama",16,8.6
"nm0463620","videoGame","Action,Adventure,Drama",77,9
"nm0463620","videoGame","Action,Adventure,Drama",2099,8.5
"nm0463620","videoGame","Action,Adventure,Drama",2699,7.7
"nm0463620","videoGame","Action,Adventure,Drama",6963,8.9
"nm0463620","videoGame","Action,War",56,9
"nm0505900","videoGame","Comedy",6,7.8
"nm0591115","videoGame","Action",109,6.9
"nm0591115","videoGame","Action,Adventure,Family",16,7
"nm0591115","videoGame","Adventure",42,6.1
"nm0591115","videoGame","Game-Show",19,5.6
"nm0591115","videoGame","Sci-Fi",37,6
"nm0612033","videoGame","Action,Animation",9,8.1
"nm0858726","videoGame","Action",34,5.8
"nm1215197","videoGame","Adventure",96,6.2
"nm1503717","videoGame","Horror",22,5.5
"nm2095224","videoGame","Action",9,7
"nm2095224","videoGame","Action,Adventure,Family",1702,7.7
"nm2095224","videoGame","Action,Adventure,Fantasy",135,6.9
"nm2095224","videoGame","Action,Adventure,Fantasy",1247,7.8
"nm2095224","videoGame","Action,Adventure,Fantasy",3026,8.2
"nm2095224","videoGame","Action,Adventure,Sci-Fi",1161,7.9
"nm2095224","videoGame","Action,Sci-Fi",2264,8.1
"nm2282498","videoGame","Action",85,8.6
"nm2282498","videoGame","Action,Adventure,Fantasy",145,5.2
"nm2282498","videoGame","Adventure",102,6.9
"nm3833743","videoGame","Adventure,Drama,Thriller",908,6.9
"nm4087886","videoGame","Action",11,4.6
"nm4210310","videoGame","Action,Fantasy",46,8
"nm4515899","videoGame","Action",20,5.1
"nm4515899","videoGame","Adventure",5,7.4
"nm4515899","videoGame","Horror",17,8.2
"nm4684467","videoGame","Animation",16,7.2
"nm5954636","videoGame","Adventure,Comedy",32,7.3
"nm5954636","videoGame","Adventure,Comedy",33,6.9
"nm5954636","videoGame","Adventure,Comedy,Horror",34,6.6
"nm5954636","videoGame","Adventure,Horror",32,7.2
"nm6572949","videoGame","Action",20,1.7
"nm6572949","videoGame","Action,Horror,Sci-Fi",27,7.5
"nm6572949","videoGame","Horror,Thriller",24,5.1
"nm6572949","videoGame","Horror,Thriller",30,5.8
"nm7271628","videoGame","Comedy,Fantasy",9,2
"nm8093244","videoGame","Horror",8,6.7
