titleType,genres,startYear,weightedRating,totalVotes
movie,"Action,Adventure",1985,4.75177305,282
movie,"Action,Adventure",1986,4.040382058,8271
movie,"Action,Adventure",1988,3.848580442,317
movie,"Action,Adventure",1989,7.966913425,1078655
movie,"Action,Adventure",1990,4.542060086,233
movie,"Action,Adventure",1991,3.850818505,1405
movie,"Action,Adventure",1992,4.8,449
movie,"Action,Adventure",1993,5.439583333,192
movie,"Action,Adventure",1994,5.2,629
movie,"Action,Adventure",1995,5.397857878,243917
movie,"Action,Adventure",1997,3.875575221,565
movie,"Action,Adventure",1999,6.3,133
movie,"Action,Adventure",2000,3.642444658,1039
movie,"Action,Adventure",2002,4.896666667,360
movie,"Action,Adventure",2006,2.505619413,1566
movie,"Action,Adventure",2008,6.100310408,440711
movie,"Action,Adventure",2009,4.065994236,347
movie,"Action,Adventure",2010,2.441099313,1601
movie,"Action,Adventure",2011,5.794806399,8626
movie,"Action,Adventure",2013,5.789249147,1172
movie,"Action,Adventure",2014,5.257130734,42422
movie,"Action,Adventure",2017,8.5,62
movie,"Action,Adventure,Animation",1966,6.583664516,3875
movie,"Action,Adventure,Animation",1968,6.522124381,3634
movie,"Action,Adventure,Animation",1977,7.2,371
movie,"Action,Adventure,Animation",1978,6.115830116,259
movie,"Action,Adventure,Animation",1979,7.587144954,31334
movie,"Action,Adventure,Animation",1982,7.1,885
movie,"Action,Adventure,Animation",1983,5.4,381
movie,"Action,Adventure,Animation",1985,6.88368984,748
movie,"Action,Adventure,Animation",1986,6.9,2583
movie,"Action,Adventure,Animation",1987,6.825959184,2450
movie,"Action,Adventure,Animation",1988,6.9,1167
movie,"Action,Adventure,Animation",1990,6.854277782,13687
movie,"Action,Adventure,Animation",1991,3.3,125
movie,"Action,Adventure,Animation",1992,5.9,18
movie,"Action,Adventure,Animation",1993,6.874293059,778
movie,"Action,Adventure,Animation",1994,6.6,5022
movie,"Action,Adventure,Animation",1995,6.178524946,461
movie,"Action,Adventure,Animation",1996,7.347364119,2447
movie,"Action,Adventure,Animation",1997,8.39818324,369669
movie,"Action,Adventure,Animation",1999,6.6,173
movie,"Action,Adventure,Animation",2000,5.9,13721
movie,"Action,Adventure,Animation",2001,7.166651433,21881
movie,"Action,Adventure,Animation",2003,7.520456293,3901
movie,"Action,Adventure,Animation",2004,6.829006234,8181
movie,"Action,Adventure,Animation",2005,7.363419248,12687
movie,"Action,Adventure,Animation",2006,6.920801102,9437
movie,"Action,Adventure,Animation",2007,6.254740182,189075
movie,"Action,Adventure,Animation",2008,6.37426418,81066
movie,"Action,Adventure,Animation",2009,7.187691679,9782
movie,"Action,Adventure,Animation",2010,7.268760114,12977
movie,"Action,Adventure,Animation",2011,6.924967846,249577
movie,"Action,Adventure,Animation",2012,7.319784525,8168
movie,"Action,Adventure,Animation",2013,6.8,3539
movie,"Action,Adventure,Animation",2014,7.352583802,19719
movie,"Action,Adventure,Animation",2015,6.7429591,3643
movie,"Action,Adventure,Animation",2016,6.609796918,9799
movie,"Action,Adventure,Animation",2017,7.154379931,168062
movie,"Action,Adventure,Animation",2018,6.7,15435
movie,"Action,Adventure,Animation",2019,7.129436378,23899
movie,"Action,Adventure,Animation",2020,7.325748409,19174
movie,"Action,Adventure,Animation",2021,6.434804112,10312
movie,"Action,Adventure,Biography",1940,6.7,1857
movie,"Action,Adventure,Biography",1945,6.6,637
movie,"Action,Adventure,Biography",1948,7,1882
movie,"Action,Adventure,Biography",1949,6.1,497
movie,"Action,Adventure,Biography",1952,6.3,859
movie,"Action,Adventure,Biography",1954,7.5,8285
movie,"Action,Adventure,Biography",1955,7.4,6082
movie,"Action,Adventure,Biography",1972,7.9,55248
movie,"Action,Adventure,Biography",1973,5.1,11
movie,"Action,Adventure,Biography",1975,6.544711538,624
movie,"Action,Adventure,Biography",1977,3.4,1148
movie,"Action,Adventure,Biography",1992,7.150607681,16456
movie,"Action,Adventure,Biography",2001,6.5,1915
movie,"Action,Adventure,Biography",2008,6.4,12234
movie,"Action,Adventure,Biography",2014,6.4,2960
movie,"Action,Adventure,Biography",2015,7.097269458,466867
movie,"Action,Adventure,Biography",2017,6.7,53640
movie,"Action,Adventure,Biography",2018,6.6,52610
movie,"Action,Adventure,Comedy",1919,5.5,34
movie,"Action,Adventure,Comedy",1922,7,564
movie,"Action,Adventure,Comedy",1923,5.2,22
movie,"Action,Adventure,Comedy",1924,5.6,17
movie,"Action,Adventure,Comedy",1925,6.585397784,1986
movie,"Action,Adventure,Comedy",1926,5.9,37
movie,"Action,Adventure,Comedy",1927,5.819148936,94
movie,"Action,Adventure,Comedy",1928,6.344444444,783
