"directors","titleType","genres","numVotes","weightedRating"
"nm0024063","tvSeries","Reality-TV",10,8.7
"nm0024063","tvSeries","Reality-TV",61,7.7
"nm0024063","tvSeries","Talk-Show",7,2.9
"nm0024930","tvSeries","Animation,Drama,Horror",3160,7.6
"nm0024930","tvSeries","Animation,Family",8,5.3
"nm0024930","tvSeries","Animation,Sport",169,6
"nm0031588","tvSeries","Comedy",30,7.7
"nm0031588","tvSeries","Comedy",113,7.8
"nm0036496","tvSeries","Comedy,Game-Show",1116,8.3
"nm0037874","tvSeries","Adventure",10,8.4
"nm0038319","tvSeries","Adventure,Animation,Comedy",619,7.9
"nm0041790","tvSeries","Animation",14,7.6
"nm0041790","tvSeries","Animation,Comedy",257,6.4
"nm0041790","tvSeries","Comedy",79,7.4
"nm0047658","tvSeries","Crime",55,7
"nm0047658","tvSeries","Crime,Drama,Mystery",87,6.8
"nm0047658","tvSeries","Thriller",21,6.6
"nm0048037","tvSeries","Biography,Drama,Family",166,6.2
"nm0048037","tvSeries","History",31,3.4
"nm0048040","tvSeries","Drama,War",2185,5.4
"nm0048978","tvSeries","Comedy",55,6.2
"nm0048978","tvSeries","Comedy,Game-Show",11,5.1
"nm0048978","tvSeries","Talk-Show",11,5.2
"nm0051972","tvSeries","Comedy",510,7.3
"nm0051972","tvSeries","Comedy,Music",71,6
"nm0052364","tvSeries","Drama",151,7.1
"nm0056355","tvSeries","Drama",80,6.5
"nm0057819","tvSeries","Drama,History,Romance",1111,7.2
"nm0057819","tvSeries","Drama,Thriller",720,7.7
"nm0058937","tvSeries","Family",264,7.5
"nm0058937","tvSeries","Game-Show,Reality-TV",49,7.8
"nm0058937","tvSeries","Game-Show,Reality-TV",287,5.5
"nm0058937","tvSeries","Reality-TV",6,7.8
"nm0058937","tvSeries","Reality-TV",197,6
"nm0058937","tvSeries","Reality-TV",389,6.5
"nm0060505","tvSeries","Animation",7,6.2
"nm0062257","tvSeries","Comedy",11,6.8
"nm0062257","tvSeries","Comedy,Drama",47,6.5
"nm0062257","tvSeries","Drama",17,3.5
"nm0075666","tvSeries","Biography,Crime,Documentary",538,7
"nm0075666","tvSeries","Crime,Documentary",351,6.9
"nm0075666","tvSeries","Crime,Documentary,Mystery",15948,5.9
"nm0075666","tvSeries","Documentary",13,6.6
"nm0076081","tvSeries","Comedy,Romance",51,7.7
"nm0076081","tvSeries","Drama",6,7.7
"nm0076081","tvSeries","Drama,Romance",8,8
"nm0076081","tvSeries","Romance",6,8.5
"nm0077433","tvSeries","Drama,Horror,Thriller",457,5.6
"nm0080333","tvSeries","Drama",261,5.6
"nm0080333","tvSeries","Thriller",191,5.6
"nm0080911","tvSeries","Documentary",24,7.7
"nm0082776","tvSeries","Comedy",152,6.9
"nm0085080","tvSeries","Comedy",21,6.7
"nm0088372","tvSeries","Crime,Drama,Mystery",4444,8
"nm0088372","tvSeries","Thriller",4624,7.5
"nm0091335","tvSeries","Drama",354,6.8
"nm0091843","tvSeries","Comedy",11,6.1
"nm0091843","tvSeries","Comedy",19,2.4
"nm0091843","tvSeries","Crime",11,6.9
"nm0092200","tvSeries","Biography,Documentary",14,8.1
"nm0092884","tvSeries","Game-Show,Reality-TV",1397,7
"nm0094397","tvSeries","Documentary,Reality-TV",30,7.7
"nm0094953","tvSeries","Crime,Mystery",9,7.4
"nm0101748","tvSeries","Drama",548,6.7
"nm0102631","tvSeries","Crime,History,Mystery",27,6.8
"nm0104851","tvSeries","Crime,Drama,Thriller",528,6.6
"nm0106230","tvSeries","Comedy,Drama,Romance",115,5.9
"nm0109273","tvSeries","Comedy",167,7.1
"nm0109273","tvSeries","Comedy,Crime",337,5
"nm0109273","tvSeries","Game-Show",36,7.3
"nm0110644","tvSeries","Comedy,Drama,Fantasy",1901,6.6
"nm0110654","tvSeries","Comedy,Drama,Romance",14,7.5
"nm0110654","tvSeries","Drama",165,9.1
"nm0112374","tvSeries","Documentary",15,6.8
"nm0112647","tvSeries","Comedy",74,7.5
"nm0112653","tvSeries","Comedy",165,8.2
"nm0112653","tvSeries","Comedy",714,7.5
"nm0112653","tvSeries","Comedy,Drama",289,6.8
"nm0115442","tvSeries","Documentary",14,7.1
"nm0115442","tvSeries","Documentary",17,7.2
"nm0115442","tvSeries","Documentary",23,7.5
"nm0115442","tvSeries","Documentary",32,7.5
"nm0115442","tvSeries","Documentary",46,7.6
"nm0116830","tvSeries","Crime,Drama,Thriller",475,6.2
"nm0118345","tvSeries","Adventure,Comedy,Family",103,4.2
"nm0119570","tvSeries","Reality-TV",15,5.6
"nm0120046","tvSeries","Game-Show",18,4.9
"nm0120268","tvSeries","Comedy",54,5.5
"nm0122653","tvSeries","Comedy,Drama",421,6.1
"nm0122653","tvSeries","Crime,Drama",2649,6.9
"nm0122745","tvSeries","Documentary,Reality-TV",4966,7
"nm0123273","tvSeries","Comedy",565,5.3
"nm0123273","tvSeries","Comedy,Romance",4102,6.4
"nm0125753","tvSeries","Comedy",76,6.4
"nm0127882","tvSeries","Biography,Drama",34,8.4
"nm0127882","tvSeries","Drama",30,8.6
"nm0127882","tvSeries","Drama",173,8.1
"nm0128382","tvSeries","Biography,Crime,Drama",1522,6.7
"nm0128382","tvSeries","Crime,Drama,Thriller",523,5.7
"nm0128452","tvSeries","Crime,Drama",393,6.2
"nm0129574","tvSeries","Comedy",14,3.2
"nm0129574","tvSeries","Comedy,Talk-Show",471,7.2
"nm0129574","tvSeries","Game-Show",365,5.9
"nm0129828","tvSeries","Talk-Show",137,3.4
"nm0129841","tvSeries","Reality-TV",147,3.9
"nm0129898","tvSeries","Sci-Fi",520,6.5
"nm0129898","tvSeries","Thriller",16,5.6
"nm0130714","tvSeries","Adventure,Drama,Sport",139,7
"nm0132392","tvSeries","Comedy,Drama,Family",9,9
"nm0132392","tvSeries","Family",31,8.8
"nm0132600","tvSeries","Crime,Drama,Thriller",5415,7.8
"nm0132686","tvSeries","Reality-TV",14,7.9
"nm0133075","tvSeries","Drama",268,7.1
"nm0133075","tvSeries","Family",58,7.5
"nm0134112","tvSeries","Comedy,Sci-Fi",185,5
"nm0135332","tvSeries","Comedy",120,6.5
"nm0136160","tvSeries","Comedy",452,7.3
"nm0136160","tvSeries","Drama,Reality-TV,Romance",530,7.1
"nm0136160","tvSeries","Reality-TV",105,5.4
"nm0136160","tvSeries","Reality-TV,Romance",52,3.7
"nm0136603","tvSeries","Drama",30,6.6
"nm0137520","tvSeries","Comedy",152,7.3
"nm0140196","tvSeries","Comedy",244,5.6
"nm0141696","tvSeries","Drama",30,7.6
"nm0142286","tvSeries","Thriller",60,8.1
"nm0143581","tvSeries","Comedy",173,7.2
"nm0143984","tvSeries","Adventure",176,6.8
"nm0144511","tvSeries","Action,Horror,Sci-Fi",655,5.4
"nm0146341","tvSeries","Comedy",2191,7.9
"nm0147693","tvSeries","Reality-TV",7,8.2
"nm0148116","tvSeries","Drama",12,5.9
"nm0149216","tvSeries","Adventure,Drama,Fantasy",192,7.3
"nm0149216","tvSeries","Comedy,Drama,Fantasy",382,8
