"titleType","genres","startYear","weightedRating","totalVotes"
"short","Action,Animation,Horror","2012",6.3,60
"short","Action,Animation,Horror","2013",6.3,39
"short","Action,Animation,Sci-Fi","1975",5.6,12
"short","Action,Animation,Sci-Fi","1976",7.3,58
"short","Action,Animation,Sci-Fi","2016",9.1,17
"short","Action,Animation,Short","1935",4.2,16
"short","Action,Animation,Short","1993",5.34705882352941,68
"short","Action,Animation,Short","2010",6.9,28
"short","Action,Animation,Short","2011",7.2,10
"short","Action,Animation,Short","2013",5.78395061728395,81
"short","Action,Animation,Short","2014",7.7,10
"short","Action,Animation,Short","2015",8.35555555555556,18
"short","Action,Animation,Short","2017",4.175,32
"short","Action,Animation,Short","2018",8.7,8
"short","Action,Comedy,Crime","1947",5.4,124
"short","Action,Comedy,Crime","2008",1.9,14
"short","Action,Comedy,Crime","2011",7.8,7
"short","Action,Comedy,Crime","2013",7.6,5
"short","Action,Comedy,Crime","2014",8.1,16
"short","Action,Comedy,Crime","2015",9.15469935785172,1713
"short","Action,Comedy,Crime","2016",5.18928571428571,112
"short","Action,Comedy,Crime","2017",4.3,35
"short","Action,Comedy,Documentary","1990",6.2,11
"short","Action,Comedy,Documentary","2010",7.6,18
"short","Action,Comedy,Drama","2008",7.3,536
"short","Action,Comedy,Drama","2012",7,13
"short","Action,Comedy,Drama","2015",7.9,66
"short","Action,Comedy,Drama","2016",7.1,34
"short","Action,Comedy,Drama","2018",8.5,150
"short","Action,Comedy,Family","1896",5.3,217
"short","Action,Comedy,Family","2015",6.7,43
"short","Action,Comedy,Fantasy","2005",7.7,1297
"short","Action,Comedy,Fantasy","2015",7.2,21
"short","Action,Comedy,Fantasy","2020",9.41428571428571,140
"short","Action,Comedy,Fantasy","2021",9.44501160092807,431
"short","Action,Comedy,Horror","1936",5.9,47
"short","Action,Comedy,Horror","2001",7.1,26
"short","Action,Comedy,Horror","2003",7.9,2222
"short","Action,Comedy,Horror","2011",3.72678571428571,56
"short","Action,Comedy,Horror","2015",5.93333333333333,66
"short","Action,Comedy,Horror","2016",6.2,42
"short","Action,Comedy,Horror","2017",7.64352941176471,85
"short","Action,Comedy,Horror","2018",7.54871794871795,78
"short","Action,Comedy,Horror","2019",7.9,175
"short","Action,Comedy,Horror","2020",9.03846153846154,273
"short","Action,Comedy,Horror","2021",8.4,16
"short","Action,Comedy,News","2010",7.8,90
"short","Action,Comedy,Romance","1935",6.08965517241379,232
"short","Action,Comedy,Romance","2014",7,12
"short","Action,Comedy,Sci-Fi","2002",7.1,185
"short","Action,Comedy,Sci-Fi","2003",5.4,20
"short","Action,Comedy,Sci-Fi","2006",7.4,16
"short","Action,Comedy,Sci-Fi","2009",2.1,16
"short","Action,Comedy,Sci-Fi","2011",6.4,101
"short","Action,Comedy,Sci-Fi","2016",7.19270072992701,137
"short","Action,Comedy,Sci-Fi","2018",7.6,38
"short","Action,Comedy,Sci-Fi","2019",9,137
"short","Action,Comedy,Sci-Fi","2020",9.6,22
"short","Action,Comedy,Short","1900",4.6,32
"short","Action,Comedy,Short","1901",5.6,584
"short","Action,Comedy,Short","1908",6.2,413
"short","Action,Comedy,Short","1929",4.53838383838384,99
"short","Action,Comedy,Short","1930",6.6,124
"short","Action,Comedy,Short","1939",7,45
"short","Action,Comedy,Short","1944",7.2,15
"short","Action,Comedy,Short","1973",6.2,295
